seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Channapatna, Karnataka, India"
2,"Ramanagara, Karnataka, India"
3,"Chikkaballapura, Karnataka, India"
4,"Ranebennur, Karnataka, India"
5,"Sagar, Karnataka, India"
6,"Belgaum, Karnataka, India"
7,"Gokak, Karnataka, India"
8,"Jaysingpur, Maharashtra, India"
9,"Ratnagiri, Maharashtra, India"
10,"Mumbai, Maharashtra, India"
11,"Goregaon, Mumbai, Maharashtra, India"
12,"Mahuva, Gujarat, India"
13,"Surendranagar, Gujarat, India"
14,"Sirohi, Rajasthan, India"
15,"Pindwara, Rajasthan, India"
16,"Chittorgarh, Rajasthan, India"
17,"Sardarshahar, Rajasthan, India"
18,"Jagadhri, Haryana, India"
19,"Delhi, India"
20,"Lucknow, Uttar Pradesh, India"
21,"Barh, Bihar, India"
22,"Jalpaiguri, West Bengal, India"
23,"Pakur, Jharkhand, India"
24,"Suri, West Bengal, India"
25,"Bhubaneswar, Odisha, India"
26,"Chatrapur, Odisha, India"
27,"Raipur, Chhattisgarh, India"
28,"Karaikal, Puducherry, India"
29,"Thiruvalla, Kerala, India"
